date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:37:34	1242/1242	U--MCZ	200	updated ('OK')	text/html	date:Wed,%2027%20May%202026%2002:37:33%20GMT	https://pay-service.ageoforiginsgame.com/	ageoforigins_clon/pay-service.ageoforiginsgame.com/index.html	(from )
21:37:34	230/230	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2027%20May%202026%2002:37:33%20GMT	https://pay-service.ageoforiginsgame.com/robots.txt		(from )
21:38:39	314/314	U-----	200	untouched ('')	application/json	date:Fri,%2022%20May%202026%2003:11:01%20GMT	https://pay-service.ageoforiginsgame.com/static/manifest.json	ageoforigins_clon/pay-service.ageoforiginsgame.com/static/manifest.json	(from https://pay-service.ageoforiginsgame.com/)
21:38:39	16958/16958	U-----	200	untouched ('')	image/x-icon	date:Fri,%2022%20May%202026%2003:11:01%20GMT	https://pay-service.ageoforiginsgame.com/static/favicon.ico	ageoforigins_clon/pay-service.ageoforiginsgame.com/static/favicon.ico	(from https://pay-service.ageoforiginsgame.com/)
21:38:41	503/503	U-----	200	untouched ('')	application/javascript	date:Fri,%2022%20May%202026%2003:11:01%20GMT	https://pay-service.ageoforiginsgame.com/static/sw.js	ageoforigins_clon/pay-service.ageoforiginsgame.com/static/sw.js	(from https://pay-service.ageoforiginsgame.com/)
21:38:42	748155/748155	U-----	200	untouched ('OK')	text/css	date:Fri,%2022%20May%202026%2003:11:01%20GMT	https://pay-service.ageoforiginsgame.com/static/css/app.7fe6c5c1de66d78af94b4b04a260cd20.css	ageoforigins_clon/pay-service.ageoforiginsgame.com/static/css/app.7fe6c5c1de66d78af94b4b04a260cd20.css	(from https://pay-service.ageoforiginsgame.com/)
21:39:48	1706/1706	U-----	200	untouched ('')	application/javascript	date:Fri,%2022%20May%202026%2003:11:01%20GMT	https://pay-service.ageoforiginsgame.com/static/js/manifest.b42ff55ff4a3793115ff.js	ageoforigins_clon/pay-service.ageoforiginsgame.com/static/js/manifest.b42ff55ff4a3793115ff.js	(from https://pay-service.ageoforiginsgame.com/)
21:39:48	1061458/1061458	U-----	200	untouched ('')	application/javascript	date:Fri,%2022%20May%202026%2003:11:01%20GMT	https://pay-service.ageoforiginsgame.com/static/js/vendor.145f7b7525bf603a7d42.js	ageoforigins_clon/pay-service.ageoforiginsgame.com/static/js/vendor.145f7b7525bf603a7d42.js	(from https://pay-service.ageoforiginsgame.com/)
21:39:48	210934/210934	U-----	200	untouched ('')	application/javascript	date:Fri,%2022%20May%202026%2003:11:01%20GMT	https://pay-service.ageoforiginsgame.com/static/js/app.55bc51bc9be85d288c7f.js	ageoforigins_clon/pay-service.ageoforiginsgame.com/static/js/app.55bc51bc9be85d288c7f.js	(from https://pay-service.ageoforiginsgame.com/)
21:39:51	151666/151666	U-----	200	untouched ('')	image/jpeg	date:Fri,%2022%20May%202026%2003:11:01%20GMT	https://pay-service.ageoforiginsgame.com/static/img/background.4768180.jpg	ageoforigins_clon/pay-service.ageoforiginsgame.com/static/img/background.4768180.jpg	(from https://pay-service.ageoforiginsgame.com/static/css/app.7fe6c5c1de66d78af94b4b04a260cd20.css)
21:39:53	117113/117113	U-----	200	untouched ('')	image/png	date:Fri,%2022%20May%202026%2003:11:01%20GMT	https://pay-service.ageoforiginsgame.com/static/img/dialogTop.b90db24.png	ageoforigins_clon/pay-service.ageoforiginsgame.com/static/img/dialogTop.b90db24.png	(from https://pay-service.ageoforiginsgame.com/static/css/app.7fe6c5c1de66d78af94b4b04a260cd20.css)
21:39:55	90627/90627	U-----	200	untouched ('')	image/jpeg	date:Fri,%2022%20May%202026%2003:11:01%20GMT	https://pay-service.ageoforiginsgame.com/static/img/mobileBack.5b0f15a.jpg	ageoforigins_clon/pay-service.ageoforiginsgame.com/static/img/mobileBack.5b0f15a.jpg	(from https://pay-service.ageoforiginsgame.com/static/css/app.7fe6c5c1de66d78af94b4b04a260cd20.css)
